start_date	start_datetime	end_datetime	merchant_type	product_family	product_category	product_subcategory	deal_type	deal_title	deal_landing_page	brand	product_name	asin	product_url	" asin_rating "	asin_reviews	deal_price	previous_price	discount_amount	discount_percentage
45012	45012.75	45014.99652777778	3P	Consumables	Health & Personal Care	5200 Vitamins	DEAL_OF_THE_DAY	Vitamine e integratori	https://www.amazon.it/dp/B0B4WHGRFW	Gloryfeel	Vitamina C GloryFeel, Vitamina C 1000mg ad Alto Dosaggio, 200 Compresse Vegan (6 mesi), Vitamina C Pura Compresse, Integratore Difese Immunitarie, Vitamin C Concentrata Acido Ascorbico	B073GSMPNW	https://www.amazon.it/dp/B073GSMPNW	4.51611229	7484	15.16	24.95	9.79	0.39238476953907814
45012	45012.75	45014.99998842592	Retail	Hardlines	Pet Products	0700 Health Care	DEAL_OF_THE_DAY	Scopri i prodotti Elanco per i tuoi animali domestici	https://www.amazon.it/deal/52e62a8f	Elanco	Seresto collare antiparassitario per cani fino a 8 kg. Elimina pulci, zecche, pidocchi e protegge dal rischio di trasmissione della leishmaniosi fino a 8 mesi.	B0089608H2	https://www.amazon.it/dp/B0089608H2	4.68080799	45319	21.89	42.7	20.81	0.4873536299765808
45012	45012.75	45014.99998842592	Retail	Hardlines	Pet Products	0700 Health Care	DEAL_OF_THE_DAY	Scopri i prodotti Elanco per i tuoi animali domestici	https://www.amazon.it/deal/52e62a8f	Advantix	Advantix® Spot-on antiparassitario per Cani da 25 kg a 40 Kg, 4 pipette da 4,0 ml. Elimina zecche, pulci, pidocchi e larve di pulce in casa. Protegge da zanzare, pappataci e rischio di leishmaniosi.	B007RQPTN8	https://www.amazon.it/dp/B007RQPTN8	4.7246695	26177	21.99	41.8	19.81	0.4739234449760765
45012	45012.75	45014.99998842592	Retail	Hardlines	Pet Products	0700 Health Care	DEAL_OF_THE_DAY	Scopri i prodotti Elanco per i tuoi animali domestici	https://www.amazon.it/deal/52e62a8f	Advantix	Advantix® Spot-on antiparassitario per Cani da 10 Kg a 25 Kg, 4 pipette da 2.5 ml. Elimina zecche, pulci, pidocchi e larve di pulce in casa. Protegge da zanzare, pappataci e rischio di leishmaniosi.	B004L8O4CC	https://www.amazon.it/dp/B004L8O4CC	4.7246695	26177	21.99	40.8	18.81	0.46102941176470585
45012	45012.75	45014.99998842592	Retail	Hardlines	Home Entertainment	0100 Televisions	DEAL_OF_THE_DAY	Televisioni, Decoder, Soundbars e Proiettori	https://www.amazon.it/deal/7eefb340	SAMSUNG	"Samsung TV UE43AU7190UXZT, Smart TV 43"" Serie AU7100, Crystal UHD 4K, Compatibile con Alexa, 2021, DVB-T2, Grigio (Titan Grey) [Escl. Amazon]"	B091642H47	https://www.amazon.it/dp/B091642H47	4.51578199	3198	329	575	246	0.42782608695652175
45012	45012.791666666664	45014.99652777778	Retail	Hardlines	Home		DEAL_OF_THE_DAY	Elettrodomestici per la casa	https://www.amazon.it/deal/deba6f62?showVariations=true	Dreame	Dreame L10s Pro Robot 2in1 Aspirapolvere e Lavapavimenti, Moci Rotanti, Rilevamento ostacoli 3D, Mappatura Multipiano, Aspirazione Potente 5300Pa Pavimenti Duri Tappeti, Peli Animali, WiFi/APP/Alexa?	B0BDXSS63Z	https://www.amazon.it/dp/B0BDXSS63Z	4.34442899	234	449	549	100	0.18214936247723132
45012	45012.75	45014.99998842592	Retail	Hardlines	Wireless	0800 Wireless Bluetooth	DEAL_OF_THE_DAY	Wearables	https://www.amazon.it/deal/5f85eff9?showVariations=true	SAMSUNG	Samsung Galaxy Buds Live Auricolari True Wireless Open-type senza tappi In-Ear, Tre Microfoni, Controlli Touch, Ricarica Wireless, Cancellazione attiva del rumore, Mystic White [Versione Italiana]	B08C5HFL69	https://www.amazon.it/dp/B08C5HFL69	4.45804169	4687	59	169	110	0.650887573964497
45012	45012.791666666664	45014.99652777778	Retail	Hardlines	Kitchen	30200 Floorcare	DEAL_OF_THE_DAY	Elettrodomestici per la casa	https://www.amazon.it/deal/deba6f62?showVariations=true	Hoover	Hoover H-FREE 100 HF122GPT 011 Aspirapolvere Elettrica Senza Fili, Senza Sacco, 170W, 0,9 L, Ciclonico, Mini Turbo Spazzola, Autonomia 40 Min, Rosso	B0053Y8M1W	https://www.amazon.it/dp/B0053Y8M1W	4.35636949	7932	124.99	199.99	75	0.3750187509375469
45012	45012.75	45014.99998842592	Retail	Consumables	Health & Personal Care	7000 Household Consumables	DEAL_OF_THE_DAY	Prodotti per la cura della casa	https://www.amazon.it/deal/4634affd?showVariations=true&moreDeals=c68cfabc	Swiffer	Swiffer Piumini Catturapolvere, 25 Piumini Duster, Cattura e Intrappola Polvere e Sporco, Raggiunge I Punti Più Difficili Della Casa, Ottimo Per I Peli Di Animali, Maxi Formato	B074P8RR96	https://www.amazon.it/dp/B074P8RR96	4.76805449	10765	12.99	28.99	16	0.5519144532597448
45012	45012.75	45014.99998842592	Retail	Consumables	Health & Personal Care	7000 Household Consumables	DEAL_OF_THE_DAY	Prodotti per la cura della casa	https://www.amazon.it/deal/4634affd?showVariations=true&moreDeals=c68cfabc	Scottonelle	Scottonelle Carta Igienica Soffice e Trapuntata, Confezione da 84 Rotoli (6x14)	B07Q6Y5SC7	https://www.amazon.it/dp/B07Q6Y5SC7	4.56667039	5371	32.99	67.2	34.21	0.509077380952381
